City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tiksi,RU,71.6872,128.8694,52.66,67,89,8.93,light rain
80,Rajanpur,PK,29.1035,70.325,98.22,41,40,8.1,scattered clouds
81,Tura,IN,25.5198,90.2201,74.55,96,100,5.68,overcast clouds
82,Springbok,ZA,-29.6643,17.8865,40.37,61,16,7.45,few clouds
83,Tessalit,ML,20.1986,1.0114,107.04,4,1,15.35,clear sky
84,Ouadda,CF,8.0777,22.4007,68.74,93,51,3.62,broken clouds
85,Namatanai,PG,-3.6667,152.4333,78.37,83,17,8.46,few clouds
86,Alihe,CN,50.5667,123.7167,68.41,99,100,5.46,overcast clouds
87,Murray Bridge,AU,-35.1167,139.2667,55.13,86,98,13.49,overcast clouds
88,Hambantota,LK,6.1241,81.1185,80.74,77,100,19.33,overcast clouds
89,Bengkulu,ID,-3.8004,102.2655,74.75,75,100,5.21,overcast clouds
90,Barrow,US,71.2906,-156.7887,30.22,93,90,5.75,mist
91,Illapel,CL,-31.6308,-71.1653,62.49,53,15,5.95,few clouds
92,Caorle,IT,45.5966,12.8758,80.42,82,90,8.81,light rain
93,Codrington,AU,-38.2667,141.9667,48.83,91,100,14.97,overcast clouds
94,Saskylakh,RU,71.9167,114.0833,43.48,65,100,13.4,overcast clouds
95,Paamiut,GL,61.994,-49.6678,42.24,87,99,14.52,overcast clouds
96,Torbay,CA,47.6666,-52.7314,60.76,71,75,23.02,broken clouds
97,Saint-Philippe,RE,-21.3585,55.7679,69.39,66,48,14.72,scattered clouds
98,Chuy,UY,-33.6971,-53.4616,62.53,83,88,8.01,overcast clouds
99,Esperance,AU,-33.8667,121.9,57.04,69,39,26.87,scattered clouds
100,Yarada,IN,17.65,83.2667,80.92,94,75,2.3,mist
101,Petatlan,MX,17.5167,-101.2667,89.4,58,88,4.92,overcast clouds
102,Hithadhoo,MV,-0.6,73.0833,81.86,74,68,5.39,broken clouds
103,Liuhe,CN,42.2401,125.7172,74.28,83,100,5.19,overcast clouds
104,Vanimo,PG,-2.6741,141.3028,77.58,90,91,7.83,overcast clouds
105,Bredasdorp,ZA,-34.5322,20.0403,43.92,81,32,4.61,scattered clouds
106,Yar-Sale,RU,66.8333,70.8333,44.73,63,94,4.03,overcast clouds
107,Kralendijk,BQ,12.15,-68.2667,87.78,62,0,16.11,clear sky
108,Flin Flon,CA,54.7682,-101.865,73.24,40,75,9.22,smoke
109,East London,ZA,-33.0153,27.9116,52.74,58,20,24.16,light rain
110,Atambua,ID,-9.1061,124.8925,68.5,89,76,6.13,broken clouds
111,Geraldton,AU,-28.7667,114.6,59.41,82,40,13.8,scattered clouds
112,Bol,TD,13.4586,14.7147,82.4,65,63,1.81,broken clouds
113,Leshukonskoye,RU,64.8989,45.7622,64.06,65,49,3.18,scattered clouds
114,Buchanan,LR,5.8808,-10.0467,80.56,78,75,12.12,broken clouds
115,Islamkot,PK,24.6997,70.177,92.73,58,90,8.95,overcast clouds
116,Ahipara,NZ,-35.1667,173.1667,49.1,83,33,7.2,scattered clouds
117,Mehamn,NO,71.0357,27.8492,53.78,90,96,4.45,overcast clouds
118,Zeya,RU,53.75,127.2667,58.42,95,100,4.65,overcast clouds
119,Yellowknife,CA,62.456,-114.3525,73.92,40,20,13.8,few clouds
120,Sisimiut,GL,66.9395,-53.6735,49.51,65,100,15.99,overcast clouds
121,Faya,SA,18.3851,42.4509,71.71,48,99,5.59,overcast clouds
122,Kautokeino,NO,69.0125,23.0412,62.67,59,98,19.17,overcast clouds
123,Sorkjosen,NO,69.8,20.9333,55.4,88,75,9.22,broken clouds
124,Kawalu,ID,-7.3817,108.2082,70.5,95,80,2.39,broken clouds
125,Hobart,AU,-42.8794,147.3294,47.12,94,90,0.0,overcast clouds
126,Mar Del Plata,AR,-38.0023,-57.5575,55.42,57,0,10.0,clear sky
127,Northam,GB,51.0333,-4.2167,73.02,86,43,12.17,scattered clouds
128,Manaure,CO,11.7751,-72.4445,92.43,45,7,25.66,clear sky
129,Lebu,CL,-37.6167,-73.65,51.51,75,0,15.17,clear sky
130,Half Moon Bay,US,37.4636,-122.4286,73.74,74,75,13.8,broken clouds
131,Oranjestad,AW,12.524,-70.027,87.75,66,20,23.02,few clouds
132,Kanker,IN,20.2719,81.4931,78.4,85,95,2.42,overcast clouds
133,Zhigalovo,RU,54.8097,105.1578,61.47,64,97,3.2,overcast clouds
134,Prince George,CA,53.9166,-122.753,71.04,56,1,2.3,clear sky
135,Kalmar,SE,56.6616,16.3616,75.96,82,9,8.05,clear sky
136,Bintulu,MY,3.1667,113.0333,77.41,100,40,4.61,light rain
137,Naze,JP,28.3667,129.4833,78.13,87,98,7.25,overcast clouds
138,Torrington,US,41.8007,-73.1212,73.83,97,99,5.93,overcast clouds
139,Cabo San Lucas,MX,22.8909,-109.9124,89.51,70,20,5.75,few clouds
140,Sao Filipe,CV,14.8961,-24.4956,74.3,78,93,10.96,overcast clouds
141,Kagoro,NG,9.6,8.3833,69.08,94,100,2.89,light rain
142,Grindavik,IS,63.8424,-22.4338,53.55,87,75,23.02,broken clouds
143,Saint-Francois,FR,46.4154,3.9054,65.64,63,75,4.61,broken clouds
144,Hachinohe,JP,40.5,141.5,68.18,94,90,6.91,light intensity drizzle
145,Khatanga,RU,71.9667,102.5,38.98,76,98,14.7,overcast clouds
146,Kruisfontein,ZA,-34.0033,24.7314,43.88,63,91,14.0,overcast clouds
147,Mokrous,RU,51.2333,47.5167,71.38,62,4,6.06,clear sky
148,Vicuna,CL,-30.0319,-70.7081,71.76,45,4,5.84,clear sky
149,Hami,CN,42.8,93.45,84.02,18,67,3.27,broken clouds
150,Jasper,US,37.2001,-94.3502,86.83,56,1,3.0,clear sky
151,Bull Savanna,JM,17.8868,-77.5902,86.63,59,81,22.79,broken clouds
152,Derzhavinsk,KZ,51.1,66.3167,51.42,81,65,14.58,broken clouds
153,Katherine,AU,-14.4667,132.2667,57.52,67,84,5.75,broken clouds
154,Marzuq,YE,14.4,46.4667,81.86,53,100,8.55,overcast clouds
155,Lahat,ID,-3.8,103.5333,71.04,97,100,2.8,light rain
156,Kenai,US,60.5544,-151.2583,59.02,96,90,5.75,mist
157,Port Alfred,ZA,-33.5906,26.891,52.92,76,91,22.26,light rain
158,New Norfolk,AU,-42.7826,147.0587,46.76,86,100,1.74,overcast clouds
159,Prince Rupert,CA,54.3161,-130.3201,60.49,85,90,2.3,overcast clouds
160,Leningradskiy,RU,69.3833,178.4167,40.69,92,74,10.98,broken clouds
161,Victoria,HK,22.2855,114.1577,87.33,80,33,1.99,scattered clouds
162,Massaguet,TD,12.4755,15.4365,91.74,39,75,6.15,broken clouds
163,Nishihara,JP,26.1842,127.7558,82.45,86,40,10.36,scattered clouds
164,Marystown,CA,47.1666,-55.1483,63.39,58,19,12.24,few clouds
165,Ilhabela,BR,-23.7781,-45.3581,73.69,62,1,4.88,clear sky
166,Carutapera,BR,-1.195,-46.02,82.69,75,75,9.04,moderate rain
167,Bandrele,YT,-12.9067,45.1914,74.95,78,0,3.44,clear sky
168,Faanui,PF,-16.4833,-151.75,80.46,71,19,23.96,light rain
169,Castro,BR,-24.7911,-50.0119,70.65,41,5,5.77,clear sky
170,Nyurba,RU,63.2842,118.3319,57.29,85,62,5.79,broken clouds
171,Conceicao Do Mato Dentro,BR,-19.0372,-43.425,78.89,31,0,8.1,clear sky
172,Tuatapere,NZ,-46.1333,167.6833,39.63,88,99,7.14,overcast clouds
173,Saint George,US,37.1041,-113.5841,101.62,27,1,1.99,clear sky
174,Avarua,CK,-21.2078,-159.775,75.25,78,40,6.91,scattered clouds
175,Isangel,VU,-19.55,169.2667,70.07,83,100,19.44,overcast clouds
176,Bambous Virieux,MU,-20.3428,57.7575,71.22,64,20,14.97,few clouds
177,Bereda,ES,43.2686,-7.5406,63.41,86,78,5.82,broken clouds
178,Bethel,US,41.3712,-73.414,74.91,89,90,1.01,mist
179,Okhotsk,RU,59.3833,143.3,54.21,98,100,8.3,light rain
180,Gamba,GA,-2.65,10.0,72.36,81,25,9.22,scattered clouds
181,Bathsheba,BB,13.2167,-59.5167,86.61,70,40,20.71,scattered clouds
182,Gazli,UZ,40.1333,63.45,89.71,21,15,19.57,few clouds
183,Lagoa,PT,39.05,-27.9833,68.65,75,100,13.2,overcast clouds
184,San Quintin,MX,30.4833,-115.95,75.97,58,19,8.01,few clouds
185,Linhares,BR,-19.3911,-40.0722,81.97,46,32,9.01,scattered clouds
186,Sitka,US,57.0531,-135.33,53.49,87,90,4.61,overcast clouds
187,Dohar,BD,23.5883,90.1469,84.18,86,100,8.72,overcast clouds
188,Celestun,MX,20.8667,-90.4,87.24,59,76,14.09,broken clouds
189,Markova,UA,48.6758,24.4138,76.59,83,48,4.7,scattered clouds
190,Dire,ML,12.2833,-10.9667,87.42,57,38,0.83,scattered clouds
191,Akdepe,TM,42.0551,59.3788,80.69,32,15,18.1,few clouds
192,Cidreira,BR,-30.1811,-50.2056,70.7,64,97,3.69,overcast clouds
193,Amarkantak,IN,22.6667,81.75,72.68,77,41,2.19,light rain
194,Angoche,MZ,-16.2325,39.9086,74.1,79,9,8.86,clear sky
195,Fortuna,US,40.5982,-124.1573,54.52,94,90,10.36,overcast clouds
196,Haines Junction,CA,60.7522,-137.5108,60.75,48,98,4.61,overcast clouds
197,Khor,RU,47.8861,134.9464,71.96,82,89,4.68,overcast clouds
198,Pevek,RU,69.7008,170.3133,39.15,89,75,5.97,broken clouds
199,Monrovia,LR,6.3005,-10.7969,80.37,78,63,13.02,broken clouds
200,Lahaina,US,20.8783,-156.6825,80.6,72,27,9.04,scattered clouds
201,Dikson,RU,73.5069,80.5464,34.88,93,100,13.51,overcast clouds
202,Mount Gambier,AU,-37.8333,140.7667,48.0,94,99,10.33,overcast clouds
203,Saldanha,ZA,-33.0117,17.9442,48.25,60,14,4.99,few clouds
204,Birecik,TR,37.0294,37.9903,94.21,13,0,14.61,clear sky
205,Padang,ID,-0.9492,100.3543,77.79,57,100,4.36,overcast clouds
206,Zaykovo,RU,57.5613,62.7568,46.9,71,28,6.06,scattered clouds
207,Dulce Nombre De Culmi,HN,15.1,-85.5333,80.83,90,63,4.27,broken clouds
208,Porangatu,BR,-13.4408,-49.1486,94.68,15,0,2.37,clear sky
209,Le Port,RE,-20.9373,55.2919,69.8,90,36,5.91,scattered clouds
210,Katsuura,JP,35.1333,140.3,75.18,93,52,7.45,broken clouds
211,Shingu,JP,33.7333,135.9833,75.9,87,99,4.07,overcast clouds
212,Isabela,PH,6.7085,121.9711,77.97,86,100,2.15,overcast clouds
213,Pemberton,CA,50.3164,-122.8027,82.09,39,52,2.19,broken clouds
214,Pangnirtung,CA,66.1451,-65.7125,48.2,100,90,5.75,mist
215,Namibe,AO,-15.1961,12.1522,64.72,79,95,5.03,overcast clouds
216,Acajutla,SV,13.5928,-89.8275,89.8,57,13,6.46,few clouds
217,Makakilo City,US,21.3469,-158.0858,79.12,67,40,5.75,scattered clouds
218,Venezuela,VE,8.0,-66.0,87.01,54,95,13.22,overcast clouds
219,Rezekne,LV,56.5,27.3167,72.84,80,84,7.87,broken clouds
220,Dingle,PH,10.9995,122.6711,77.38,87,100,3.94,light rain
221,Brae,GB,60.3964,-1.353,58.91,87,100,4.32,overcast clouds
222,Moose Factory,CA,51.2585,-80.6094,86.0,45,75,9.22,broken clouds
223,Mana,GF,5.6592,-53.7767,85.95,65,16,10.47,few clouds
224,Shache,CN,38.4167,77.2406,75.67,37,98,12.88,overcast clouds
225,Jalu,LY,29.0331,21.5482,95.56,21,0,10.51,clear sky
226,Danshui,CN,22.7984,114.4672,87.03,82,31,1.99,scattered clouds
227,Srednekolymsk,RU,67.45,153.6833,41.95,82,46,5.26,scattered clouds
228,Vila Velha,BR,-20.3297,-40.2925,77.97,70,40,5.75,scattered clouds
229,Luderitz,NA,-26.6481,15.1594,57.94,44,0,25.05,clear sky
230,Nara,JP,34.6851,135.8049,77.5,94,59,1.07,broken clouds
231,Tadine,NC,-21.55,167.8833,65.73,68,18,14.29,few clouds
232,Kahului,US,20.8947,-156.47,80.62,68,20,12.66,few clouds
233,Opelousas,US,30.5335,-92.0815,89.87,60,45,1.07,scattered clouds
234,Sur,OM,22.5667,59.5289,85.46,73,100,10.0,overcast clouds
235,Simbahan,PH,6.3032,120.5836,80.92,81,99,7.87,overcast clouds
236,Iqaluit,CA,63.7506,-68.5145,53.33,82,90,5.75,light rain
237,Umm Kaddadah,SD,13.6017,26.6876,83.23,49,61,29.04,broken clouds
238,Porbandar,IN,21.6422,69.6093,83.8,82,87,15.39,moderate rain
239,Ascension,US,30.2169,-90.9001,93.07,63,75,3.44,broken clouds
240,Coihaique,CL,-45.5752,-72.0662,45.21,99,100,3.98,light rain
241,Hasaki,JP,35.7333,140.8333,72.28,92,76,10.78,broken clouds
242,Lampazos De Naranjo,MX,27.0167,-100.5167,88.83,43,53,10.89,broken clouds
243,Georgetown,MY,5.4112,100.3354,79.9,82,40,3.44,scattered clouds
244,Kichera,RU,55.9375,110.0997,65.1,53,99,6.04,overcast clouds
245,Belaya Gora,RU,68.5333,146.4167,48.51,71,95,4.12,overcast clouds
246,Kjollefjord,NO,70.9457,27.3465,53.65,90,94,4.54,overcast clouds
247,Marrakesh,MA,31.6315,-8.0083,96.87,20,0,9.22,clear sky
248,Adrar,MR,20.5022,-10.0711,108.68,10,9,5.39,clear sky
249,Mionica,BA,44.8672,18.4631,93.2,34,0,6.46,clear sky
250,Tan An,VN,10.5333,106.4167,78.82,89,100,1.74,overcast clouds
251,Zhigansk,RU,66.7697,123.3711,54.05,87,94,11.74,overcast clouds
252,Anadyr,RU,64.75,177.4833,57.7,87,0,2.24,clear sky
253,Mahebourg,MU,-20.4081,57.7,71.26,64,20,14.97,few clouds
254,Provideniya,RU,64.3833,-173.3,52.81,77,53,3.71,broken clouds
255,San Ignacio,BZ,17.1561,-89.0714,87.94,66,75,9.22,broken clouds
256,Alofi,NU,-19.0595,-169.9187,73.29,94,70,5.75,broken clouds
257,Port-Gentil,GA,-0.7193,8.7815,76.12,76,75,19.17,broken clouds
258,Fairbanks,US,64.8378,-147.7164,70.21,55,1,4.61,smoke
259,Mmabatho,ZA,-25.85,25.6333,37.36,56,0,6.91,clear sky
260,Lata,PT,40.1629,-8.3327,68.36,56,1,10.22,clear sky
261,Zyryanka,RU,65.75,150.85,49.46,78,44,4.9,scattered clouds
262,Kushima,JP,31.4583,131.2333,74.03,92,67,3.0,broken clouds
263,Vardo,NO,70.3705,31.1107,60.78,77,75,11.5,light intensity shower rain
264,Auki,SB,-8.7676,160.7034,76.32,90,65,4.74,broken clouds
265,Scarborough,GB,54.2797,-0.4044,67.66,79,72,1.01,broken clouds
266,Labuhan,ID,-6.8844,112.2051,76.89,81,39,11.34,scattered clouds
267,Caravelas,BR,-17.7125,-39.2481,78.13,61,12,6.93,few clouds
268,Chimbote,PE,-9.0853,-78.5783,70.25,69,60,12.5,broken clouds
269,Lynn Haven,US,30.2455,-85.6483,88.03,70,75,4.0,broken clouds
270,Betsiamites,CA,48.9413,-68.646,73.8,54,50,3.2,scattered clouds
271,Kavaratti,IN,10.5669,72.642,82.78,83,100,16.87,overcast clouds
272,Golspie,GB,57.9727,-3.978,66.27,83,93,5.03,overcast clouds
273,Chipinge,ZW,-20.1883,32.6236,61.54,51,52,4.25,broken clouds
274,Cooma,AU,-36.2333,149.1333,39.36,82,72,7.02,broken clouds
275,Tarancon,ES,40.0085,-3.0073,80.65,21,69,7.7,broken clouds
276,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,72,81,10.16,broken clouds
277,Norman Wells,CA,65.282,-126.8329,78.84,38,20,5.75,few clouds
278,Udachnyy,RU,66.4167,112.4,53.62,83,92,12.15,light rain
279,Kwinana,AU,-32.25,115.7667,60.82,73,55,20.67,broken clouds
280,Nybro,SE,56.7446,15.9071,78.42,70,10,6.06,clear sky
281,Washington,US,47.5001,-120.5015,86.49,20,0,3.22,clear sky
282,Hobyo,SO,5.3505,48.5268,78.71,78,90,28.21,overcast clouds
283,Mutsu,JP,41.2894,141.2169,68.0,96,76,4.54,broken clouds
284,Santa Maria,BR,-29.6842,-53.8069,76.3,61,0,2.3,clear sky
285,Nikolskoye,RU,59.7035,30.7861,78.69,53,76,3.0,broken clouds
286,Portland,US,45.5234,-122.6762,79.63,59,20,1.99,few clouds
287,Port Hedland,AU,-20.3167,118.5667,69.85,100,5,10.36,clear sky
288,Polson,US,47.6936,-114.1632,85.1,39,21,1.77,few clouds
289,Praia Da Vitoria,PT,38.7333,-27.0667,74.75,83,20,12.1,few clouds
290,Yerbogachen,RU,61.2767,108.0108,61.75,81,32,3.49,scattered clouds
291,Lazaro Cardenas,MX,17.9583,-102.2,86.81,67,93,2.68,overcast clouds
292,Rockport,US,28.0206,-97.0544,85.03,80,20,1.01,moderate rain
293,Jiwani,PK,25.05,61.7417,84.33,84,95,9.89,overcast clouds
